Bulan;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa;PPN;Total Biaya;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
September;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 1636 DP;2576576;860000;378023;3814599;Rusak Berat;3436576;0,11;0,675451338;0,225449648
September;CV. DAMAR KARYA;Mini bus;IMV;L 1907 FP;1880000;950000;311300;3141300;Rusak Ringan;2830000;0,11;0,598478337;0,302422564
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;Mini Truk;NSERIES135;L 9138 BP;1947389;1040000;328611;3316000;Rusak sedang;2987389;0,11;0,587270507;0,313630881
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;TRUK;NSERIES77;L 9218 NP;675676;2645946;365378;3687000;Rusak sedang;3321622;0,11;0,183259018;0,717641985
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;MiniBus;TBR54;L 9361 NP;1954955;1340538;362507;3658000;Rusak sedang;3295493;0,11;0,53443275;0,366467469
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;Pick Up;TBR54;L 9897 NP;2384323;940000;365677;3690000;Rusak sedang;3324323;0,11;0,646157995;0,254742547
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;Pick Up;TBR54;L 8868 CP;1343605;2009548;368847;3722000;Rusak sedang;3353153;0,11;0,360990059;0,539910801
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;MiniBus;TBR541;L 1357 CP;3496038;1915676;595286;6007000;Rusak sedang;5411714;0,11;0,581994007;0,318907275
September;PT. ASTRA INTERNATIONAL ISUZU CABANG  HR MUHAMMAD;Pick Up;TBR54;L 9012 BP;2393644;3319869;628487;6342000;Rusak sedang;5713513;0,11;0,37742731;0,52347351
September;CV. ASRI;Mini bus;Kijang;L 1733 FP;0;5988751;658762,61;6647513,61;Rusak sedang;5988751;0,11;0;0,900900901
September;CV. ASRI;Mini bus;IMV;L 1762 PP;3187636;1078722;469299,38;4735657,38;Rusak sedang;4266358;0,11;0,673113729;0,227787172
September;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;Mini bus;TBR541;L 1383 CP;951545;2203400;347043;3501988;Rusak sedang;3154945;0,11;0,271715666;0,62918548
September;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;Sedan;Camry;L 1026 ZZH;330612;543562;96160;970334;Rusak sedang;874174;0,11;0,340719793;0,560180309
September;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;Jeep;IMV4;L 1012 ZZH;330612;543562;96160;970334;Rusak Sedng;874174;0,11;0,340719793;0,560180309
Oktober;PT. SRIKANDI DIAMOND INDAH MOTORS;Jeep;V5MT1;L 9332 NP;8131100;4146875;1350577;13628552;Rusak Berat;12277975;0,11;0,596622444;0,304278474
Oktober;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;camry 2.5 V AT;IMV;L 1025 ZZH;408612;543562;104740;1056914;Rusak Ringan;952174;0,11;0,38660856;0,514291607
Oktober;PT. ASTRA INTERNATIONAL TOYOTA CABANG BASUKI RACHMAT;Fortuner 2.8 VRZ;IMV;L 1011 ZZH;408612;543562;104740;1056914;Rusak Ringan;952174;0,11;0,38660856;0,514291607
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;Sedan;H Accord;L 1599 FP;14975100;539000;1706551;17220651;Rusak Berat;15514100;0,11;0,869601271;0,03129963
November;PT. SRIKANDI DIAMOND INDAH MOTORS;Jeep;V5MT1;L 9323 NP;1487500;38250;167832;1693582;Rusak Ringan;1525750;0,11;0,878315901;0,022585266
Nopember;CV. ASRI;Mini bus;Hiace;L 7588 NP;1020298;1068918;229813,76;2319029,76;Rusak Ringan;2089216;0,11;0,439967618;0,460933283
Nopember;UD. JAYA AC;Mini Bus;Strada;L 8854 CP;4202703;765766;546531;5515000;Rusak Sedang;4968469;0,11;0,762049501;0,138851496
Nopember;UD. JAYA AC;Sedan;Camry;X11151-29;968468;518018;163514;1650000;Rusak Ringan;1486486;0,11;0,586950303;0,313950303
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;Sedan;H Accord;L 1599 FP;9198000;462000;1062600;10722600;Rusak Berat;9660000;0,11;0,857814336;0,043086565
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1990 EP;3838559;1609200;599253;6047012;Rusak sedang;5447759;0,11;0,634786073;0,266114901
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;Mini bus;IMV;L 1852 PP;1812510;507452;255196;2575158;Rusak Ringan;2319962;0,11;0,703844191;0,197056647
Nopember;PT. UNITED MOTORS CENTRE;Mini Bus;Ambulance;L 1589 DP;2791470;2171040;545876;5508386;;4962510;0,11;0,506767318;0,394133599
Nopember;PT. UNITED MOTORS CENTRE;Mini bus;Ambulance;L 1129 EP;4927208;2360790;801680;8089678;Rusak sedang;7287998;0,11;0,609073439;0,291827437
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;Mini bus;TBR541;L 1906 BP;1120879;1033333;236963;2391175;Rusak Ringan;2154212;0,11;0,468756574;0,432144448
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;Mini bus;NSERIES77;L 9066 AP;1244102;634314;206627;2085043;Rusak Ringan;1878416;0,11;0,596679301;0,304221064
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG WARU;Mini bus;NSERIES77;L 9127 AP;1033915;475735;166062;1675712;Rusak Ringan;1509650;0,11;0,617000415;0,283900217
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;Mini bus;TBR541;L 1703 FP;1105002;640000;191948;1936950;Rusak Ringan;1745002;0,11;0,570485557;0,330416376
Nopember;PT. ASTRA INTERNATIONAL ISUZU CABANG HR MUHAMMAD;Mini bus;TBR541;L 1591 DP;903840;1535505;268329;2707674;Rusak Ringan;2439345;0,11;0,333806802;0,567093749
