Bulan;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa;PPN;Total Biaya;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Februari;CV. ASRI;Jeep;Fortuner;L 1011 ZZH;0;810.811;89.189;900.000;Rusak Berat;810.811;11,00%;0,00%;90,10%
Februari;CV. ASRI;Mini Bus;Innova;L 1892 BP;688.965;1.085.837;195.228;1.970.030;Rusak Ringan;1.774.802;11,00%;35,00%;55,10%
Februari;CV. ASRI;Mini Bus;Avanza;L 1568 FP;1.241.845;1.108.062;258.490;2.608.397;Rusak Ringan;2.349.907;11,00%;47,60%;42,50%
Februari;CV. ASRI;Jeep;Fortuner;L 1011 ZZH;16.055.857;0;1.766.144;17.822.001;Rusak Berat;16.055.857;11,00%;90,10%;0,00%
Februari;PT. Astra International Toyota;Jeep;Fortuner;L 1012 ZZH;1.481.554;1.863.000;367.901;3.712.455;Rusak Ringan;3.344.554;11,00%;39,90%;50,20%
April;PT. Astra International Toyota;Sedan;Sedan;L 1025 ZZH;802.135;1.034.500;202.030;2.038.665;Rusak Ringan;1.836.635;11,00%;39,30%;50,70%
April;CV. ASRI;Mini Bus;Innova;L 1556 FP;3.973.741;1.640.282;617.543;6.231.566;Rusak Sedang;5.614.023;11,00%;63,80%;26,30%
April;CV. ASRI;Mini Bus;Innova;L 1047 ZZH;2.045.495;486.487;278.518;2.810.500;Rusak Ringan;2.531.982;11,00%;72,80%;17,30%
April;CV. ASRI;Mini Bus;Innova;L 1986 EP;1.390.768;1.185.197;283.356;2.859.321;Rusak Ringan;2.575.965;11,00%;48,60%;41,50%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9364 AP;6.121.000;1.617.000;851.180;8.589.180;Rusak Sedang;7.738.000;11,00%;71,30%;18,80%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9350 AP;3.558.467;2.509.570;667.486;6.735.523;Rusak Sedang;6.068.037;11,00%;52,80%;37,30%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1920 BP;3.669.280;1.554.000;574.561;5.797.841;Rusak Sedang;5.223.280;11,00%;63,30%;26,80%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 8902 CP;6.293.516;1.323.000;837.817;8.454.333;Rusak Sedang;7.616.516;11,00%;74,40%;15,60%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1828 FP;5.587.299;1.071.000;732.413;7.390.712;Rusak Sedang;6.658.299;11,00%;75,60%;14,50%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9368 AP;3.910.591;1.092.000;550.285;5.552.876;Rusak Sedang;5.002.591;11,00%;70,40%;19,70%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 8978 CP;5.145.088;1.050.000;681.457;6.876.545;Rusak Sedang;6.195.088;11,00%;74,80%;15,30%
