Bulan;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa;PPN;Total Biaya;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
April;PT. United Motor Centre;Mini Bus;GC415;L 1152 CP;1.190.000;543.780;190.716;1.924.496;Rusak Ringan;1.733.780;11,00%;61,80%;28,30%
April;PT. United Motor Centre;Mini Bus;GC415;L 1154 CP;2.363.280;1.020.180;372.181;3.755.641;Rusak Ringan;3.383.460;11,00%;62,90%;27,20%
April;PT. United Motor Centre;Mini Bus;GC415;L 1150 CP;1.685.944;1.280.180;326.274;3.292.398;Rusak Ringan;2.966.124;11,00%;51,20%;38,90%
April;PT. United Motor Centre;Mini Bus;GC415;L 1151 CP;505.136;629.600;124.821;1.259.557;Rusak Ringan;1.134.736;11,00%;40,10%;50,00%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9355 AP;6.014.266;1.428.000;818.651;8.260.917;Rusak Sedang;7.442.266;11,00%;72,80%;17,30%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 1736 FP;1.432.364;2.513.000;433.990;4.379.354;Rusak Sedang;3.945.364;11,00%;32,70%;57,40%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9361 AP;3.327.213;1.759.800;559.572;5.646.585;Rusak Sedang;5.087.013;11,00%;58,90%;31,20%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9346 AP;2.986.937;2.478.000;601.145;6.066.082;Rusak Sedang;5.464.937;11,00%;49,20%;40,90%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 8902 CP;3.740.997;1.990.800;630.497;6.362.294;Rusak Sedang;5.731.797;11,00%;58,80%;31,30%
April;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1920 BP;3.486.033;630.000;452.760;4.568.793;Rusak Sedang;4.116.033;11,00%;76,30%;13,80%
April;CV. DAMAR KARYA;Sedan;Camry;X 11151 -29;0;2.850.000;313.500;3.163.500;Rusak Ringan;2.850.000;11,00%;0,00%;90,10%
April;CV. DAMAR KARYA;Mini Bus;APV;L 1588 DP;2.007.658;5.650.000;842.342;8.500.000;Rusak Sedang;7.657.658;11,00%;23,60%;66,50%
April;CV. DAMAR KARYA;Mini Bus;TBR54;L 9347 AP;2.190.000;5.500.000;845.900;8.535.900;Rusak Sedang;7.690.000;11,00%;25,70%;64,40%
April;CV. DAMAR KARYA;Mini Bus;Innova;L 1047 ZZH;12.874.000;500.000;1.471.140;14.845.140;Rusak Berat;13.374.000;11,00%;86,70%;3,40%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Truck;OTHERS;L 8701 CP;1.684.459;865.920;280.541;2.830.920;Rusak Ringan;2.550.379;11,00%;59,50%;30,60%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8794 CP;1.171.172;1.474.666;291.043;2.936.881;Rusak Ringan;2.645.838;11,00%;39,90%;50,20%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Micro Bus;TRAVELLO;L 1990 CP;404.234;553.423;105.340;1.062.997;Rusak Ringan;957.657;11,00%;38,00%;52,10%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;NSERIES77;L 1449 CP;2.161.113;2.271.500;487.586;4.920.199;Rusak Sedang;4.432.613;11,00%;43,90%;46,20%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9255 NP;4.355.311;2.194.500;720.479;7.270.290;Rusak Sedang;6.549.811;11,00%;59,90%;30,20%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1658 FP;4.181.892;1.512.000;626.327;6.320.219;Rusak Sedang;5.693.892;11,00%;66,20%;23,90%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR542;L 1817 FP;4.209.538;1.537.666;632.194;6.379.398;Rusak Sedang;5.747.204;11,00%;66,00%;24,10%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9345 AP;2.070.992;2.314.666;482.424;4.868.082;Rusak Sedang;4.385.658;11,00%;42,50%;47,50%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9354 AP;1.886.306;2.013.666;428.997;4.328.969;Rusak Sedang;3.899.972;11,00%;43,60%;46,50%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9358 AP;4.303.468;2.993.666;802.686;8.099.820;Rusak Sedang;7.297.134;11,00%;53,10%;37,00%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8883 CP;2.941.531;2.163.000;561.491;5.666.022;Rusak Sedang;5.104.531;11,00%;51,90%;38,20%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1383 CP;2.171.982;1.726.666;428.853;4.327.501;Rusak Sedang;3.898.648;11,00%;50,20%;39,90%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;NSERIES77;L 9127 AP;3.430.988;3.865.096;802.570;8.098.654;Rusak Sedang;7.296.084;11,00%;42,40%;47,70%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8552 BP;4.734.146;2.401.000;784.865;7.920.011;Rusak Sedang;7.135.146;11,00%;59,80%;30,30%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1635 DP;2.094.599;2.048.666;455.762;4.599.027;Rusak Sedang;4.143.265;11,00%;45,50%;44,50%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1660 FP;4.990.445;3.602.666;945.243;9.538.354;Rusak Berat;8.593.111;11,00%;52,30%;37,80%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9370 AP;5.086.306;3.612.000;956.816;9.655.122;Rusak Berat;8.698.306;11,00%;52,70%;37,40%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9352 AP;3.437.386;3.133.666;722.814;7.293.866;Rusak Sedang;6.571.052;11,00%;47,10%;43,00%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1352 CP;4.442.703;2.188.666;729.453;7.360.822;Rusak Sedang;6.631.369;11,00%;60,40%;29,70%
April;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9358 AP;11.442.793;210.000;1.281.807;12.934.600;Rusak Barat;11.652.793;11,00%;88,50%;1,60%
Mei;PT. Astra International Toyota;Sedan;Sedan;L 1923 BP;1.823.817;2.139.500;435.965;4.399.282;Rusak Sedang;3.963.317;11,00%;41,50%;48,60%
Mei;PT. Astra International Toyota;Jeep;IMV4;L 1011 ZZH;957.230;1.034.500;219.090;2.210.820;Rusak Ringan;1.991.730;11,00%;43,30%;46,80%
Mei;PT. United Motor Centre;Mini Bus;GC415;L 1592 DP;2.804.594;2.042.100;533.136;5.379.830;Rusak Sedang;4.846.694;11,00%;52,10%;38,00%
Mei;PT. United Motor Centre;Mini Bus;GC415;L 1152 CP;1.461.711;675.000;235.038;2.371.749;Rusak Ringan;2.136.711;11,00%;61,60%;28,50%
Mei;PT. United Motor Centre;Mini Bus;GC415;L 1150 CP;2.235.946;1.024.000;358.594;3.618.540;Rusak Ringan;3.259.946;11,00%;61,80%;28,30%
Mei;PT. United Motor Centre;Mini Bus;GC415;L 1151 CP;2.094.502;681.400;305.349;3.081.251;Rusak Ringan;2.775.902;11,00%;68,00%;22,10%
Mei;PT. United Motor Centre;Mini Bus;GC415;L 1154 CP;2.065.946;780.000;313.054;3.159.000;Rusak Ringan;2.845.946;11,00%;65,40%;24,70%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;NSERIES77;L 1449 CP;8.813.541;4.088.070;1.419.177;14.320.788;Rusak Berat;12.901.611;11,00%;61,50%;28,50%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR54;L 9358 AP;4.464.108;742.000;572.666;5.778.774;Rusak Sedang;5.206.108;11,00%;77,30%;12,80%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR54;L 9370 AP;2.782.844;1.890.000;514.016;5.186.860;Rusak Sedang;4.672.844;11,00%;53,70%;36,40%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9354 AP;2.939.369;2.958.666;648.785;6.546.820;Rusak Sedang;5.898.035;11,00%;44,90%;45,20%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR54;L 9340 AP;1.871.171;1.558.666;377.284;3.807.121;Rusak Ringan;3.429.837;11,00%;49,10%;40,90%
Mei;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;TBR541;L 1851 FP;145.946;798.000;103.834;1.047.780;Rusak Ringan;943.946;11,00%;13,90%;76,20%
Mei;CV. ASRI;Mini Bus;Innova;L 1479 FP;8.078.423;1.934.127;1.101.381;11.113.931;Rusak Berat;10.012.550;11,00%;72,70%;17,40%
Mei;CV. ASRI;Micro Bus;Haice;L 7642 AP;1.404.460;1.453.847;314.414;3.172.721;Rusak Ringan;2.858.307;11,00%;44,30%;45,80%
Mei;CV. ASRI;Micro Bus;Haice;L 7643 AP;1.320.587;1.667.687;328.710;3.316.984;Rusak Ringan;2.988.274;11,00%;39,80%;50,30%
Mei;CV. ASRI;Mini Bus;Innova;L 7640 AP;1.320.587;1.667.687;328.710;3.316.984;Rusak Ringan;2.988.274;11,00%;39,80%;50,30%
Mei;CV. ASRI;Mini Bus;Innova;L 1650 CP;2.732.748;729.730;380.873;3.843.351;Rusak Ringan;3.462.478;11,00%;71,10%;19,00%
Mei;CV. ASRI;Mini Bus;Innova;L 1761 FP;1.141.014;1.240.007;261.912;2.642.933;Rusak Ringan;2.381.021;11,00%;43,20%;46,90%
Mei;CV. ASRI;Mini Bus;Innova;L 1102 BP;0;81.081;8.919;90.000;Rusak Ringan;81.081;11,00%;0,00%;90,10%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;Kijang;L 1831 FP;892.154;798.000;185.916;1.876.070;Rusak Ringan;1.690.154;11,00%;47,60%;42,50%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 9350 AP;35.135;210.000;26.965;272.100;Rusak Ringan;245.135;11,00%;12,90%;77,20%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1920 BP;414.414;441.000;94.096;949.510;Rusak Ringan;855.414;11,00%;43,60%;46,40%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1634 CP;5.557.668;903.000;710.673;7.171.341;Rusak Sedang;6.460.668;11,00%;77,50%;12,60%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1975 EP;5.108.643;2.502.570;837.234;8.448.447;Rusak Sedang;7.611.213;11,00%;60,50%;29,60%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1357 CP;3.428.745;2.310.000;631.262;6.370.007;Rusak Sedang;5.738.745;11,00%;53,80%;36,30%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 9349 AP;2.133.337;2.431.800;502.165;5.067.302;Rusak Sedang;4.565.137;11,00%;42,10%;48,00%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR54;L 1736 FP;4.658.847;910.000;612.573;6.181.420;Rusak Sedang;5.568.847;11,00%;75,40%;14,70%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1505 CP;3.270.207;1.386.000;512.183;5.168.390;Rusak Sedang;4.656.207;11,00%;63,30%;26,80%
Juni;PT. Astra International  cab. Waru;Pick Up;TBR54;L 9341 AP;2.555.142;3.605.000;677.616;6.837.758;Rusak Sedang;6.160.142;11,00%;37,40%;52,70%
Juni;CV. ASRI;Mini Bus;Avanza;L 1568 FP;1.750.656;1.435.730;350.502;3.536.888;Rusak Ringan;3.186.386;11,00%;49,50%;40,60%
Juni;CV. ASRI;Mini Bus;Innova;L 1607 FP;2.174.301;1.293.467;381.454;3.849.222;Rusak Ringan;3.467.768;11,00%;56,50%;33,60%
Juni;CV. ASRI;Mini Bus;Innova;L 1774 PP;881.104;1.293.467;239.203;2.413.774;Rusak Ringan;2.174.571;11,00%;36,50%;53,60%
Juni;CV. ASRI;Mini Bus;Hiace;L 1594 FP;1.837.095;1.453.847;362.004;3.652.946;Rusak Ringan;3.290.942;11,00%;50,30%;39,80%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9364 AP;1.612.701;1.302.000;320.617;3.235.318;None;2.914.701;11,00%;49,80%;40,20%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9362 AP;1.198.291;1.092.000;251.931;2.542.222;None;2.290.291;11,00%;47,10%;43,00%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8794 CP;4.886.964;1.680.000;722.365;7.289.329;None;6.566.964;11,00%;67,00%;23,00%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8820 CP;3.048.740;3.829.000;756.551;7.634.291;None;6.877.740;11,00%;39,90%;50,20%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9347 AP;6.408.476;1.932.002;917.453;9.257.931;None;8.340.478;11,00%;69,20%;20,90%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9365 AP;2.701.621;4.627.000;806.150;8.134.771;None;7.328.621;11,00%;33,20%;56,90%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9358 AP;0;5.775.005;635.250;6.410.255;None;5.775.005;11,00%;0,00%;90,10%
Juni;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;Nseries77;L 9127 AP;2.582.915;2.177.000;523.591;5.283.506;None;4.759.915;11,00%;48,90%;41,20%
Juni;PT. SRIKANDI DIAMOND INDAH MOTORS;Pick Up;L 300;L 9323 AP;1.654.312;595.000;247.424;2.496.736;Rusak Ringan;2.249.312;11,00%;66,30%;23,80%
Juli;PT. United Motor Centre;Mini Bus;GC415;L 1591 DP;780.000;475.000;138.050;1.393.050;Rusak Ringan;1.255.000;11,00%;56,00%;34,10%
Juli;PT. United Motor Centre;Mini Bus;GC415;L 1154 cP;983.423;1.244.000;245.017;2.472.440;Rusak Ringan;2.227.423;11,00%;39,80%;50,30%
Juli;PT. United Motor Centre;Mini Bus;GC415;L 1152 CP;1.778.513;1.219.600;329.792;3.327.905;Rusak Ringan;2.998.113;11,00%;53,40%;36,60%
Juli;PT. United Motor Centre;Mini Bus;GC415;L 1775 CP;1.851.350;1.048.900;319.028;3.219.278;Rusak Ringan;2.900.250;11,00%;57,50%;32,60%
Juli;CV. Jaya AC Denso;Ambulance;Micro Bus;L 7806 NP;2.022.523;500.000;277.477;2.800.000;Rusak Ringan;2.522.523;11,00%;72,20%;17,90%
Juli;CV. Jaya AC Denso;Imv;Mini Bus;L 1102 BP;2.225.000;775.000;330.000;3.330.000;Rusak Sedang;3.000.000;11,00%;66,80%;23,30%
Juli;CV. Jaya AC Denso;Ambulance;Mini Bus;L 9194 BP;3.498.874;875.000;481.126;4.855.000;Rusak Sedang;4.373.874;11,00%;72,10%;18,00%
Juli;CV. Jaya AC Denso;Imv;Mini Bus;L 1694 CP;4.409.684;775.000;570.316;5.755.000;Rusak Sedang;5.184.684;11,00%;76,60%;13,50%
Juli;CV. Jaya AC Denso;Imv;Mini Bus;L 1852 PP;2.519.504;485.000;330.496;3.335.000;Rusak Sedang;3.004.504;11,00%;75,50%;14,50%
Juli;CV. Jaya AC Denso;Tbr54;Mini Bus;L 1895 BP;2.674.324;350.000;332.676;3.357.000;Rusak Sedang;3.024.324;11,00%;79,70%;10,40%
Juli;CV. Jaya AC Denso;Tbr54;Mini Bus;L 1361 CP;7.689.640;350.000;884.360;8.924.000;Rusak Sedang;8.039.640;11,00%;86,20%;3,90%
Juli;CV. Jaya AC Denso;Ambulance;Mini Bus;L 1447 CP;5.944.820;875.000;750.180;7.570.000;Rusak Sedang;6.819.820;11,00%;78,50%;11,60%
Juli;PT. ASTRA INTERNATIONAL Toyota Basuki Rahmat;Imv;Mini Bus;L 1047 ZZH;4.424.798;2.490.000;760.628;7.675.426;Rusak Sedang;6.914.798;11,00%;57,60%;32,40%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 8858 CP;5.709.908;1.759.800;821.666;8.291.374;Rusak Sedang;7.469.708;11,00%;68,90%;21,20%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1605 FP;4.274.239;1.092.000;590.286;5.956.525;Rusak Sedang;5.366.239;11,00%;71,80%;18,30%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1349 CP;5.080.646;1.239.000;695.162;7.014.808;Rusak Sedang;6.319.646;11,00%;72,40%;17,70%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1322 CP;2.817.041;966.000;416.134;4.199.175;Rusak Sedang;3.783.041;11,00%;67,10%;23,00%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1738 FP;3.631.008;1.323.000;544.941;5.498.949;Rusak Sedang;4.954.008;11,00%;66,00%;24,10%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1820 FP;501.806;42.000;59.819;603.625;Rusak Ringan;543.806;11,00%;83,10%;7,00%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 9352 AP;485.317;42.000;58.006;585.323;Rusak Ringan;527.317;11,00%;82,90%;7,20%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9353 AP;3.287.567;4.137.000;816.700;8.241.267;Rusak Sedang;7.424.567;11,00%;39,90%;50,20%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9347 AP;10.617.314;1.645.000;1.348.856;13.611.170;Rusak Berat;12.262.314;11,00%;78,00%;12,10%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Truck;Others;L 8701 CP;8.511.171;1.470.000;1.097.929;11.079.100;Rusak Berat;9.981.171;11,00%;76,80%;13,30%
Juli;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Mini Bus;Luxio;L 1657 FP;12.518.450;2.128.000;1.611.110;16.257.560;Rusak Berat;14.646.450;11,00%;77,00%;13,10%
Juli;CV. ASRI;Mini Bus;Kijang;L 1739 CP;1.939.201;830.412;304.657;3.074.270;Rusak Sedang;2.769.613;11,00%;63,10%;27,00%
Juli;CV. ASRI;Mini Bus;Innova;L 1718 FP;1.387.772;1.329.910;298.945;3.016.627;Rusak Sedang;2.717.682;11,00%;46,00%;44,10%
Juli;CV. ASRI;Mini Bus;Innova;L 1986 EP;2.116.533;648.649;304.170;3.069.352;Rusak Sedang;2.765.182;11,00%;69,00%;21,10%
Juli;CV. ASRI;Mini Bus;Innova;L 1852 FP;2.438.726;1.073.655;386.362;3.898.743;Rusak Sedang;3.512.381;11,00%;62,60%;27,50%
Juli;CV. ASRI;Mini Bus;Innova;L 1659 FP;1.623.561;1.448.532;337.930;3.410.023;Rusak Sedang;3.072.093;11,00%;47,60%;42,50%
Juli;CV. ASRI;Mini Bus;Innova;L 1559 QP;675.699;1.133.087;198.967;2.007.753;Rusak Sedang;1.808.786;11,00%;33,70%;56,40%
Agustus;PT. ASTRA INTERNATIONAL Toyota Basuki Rahmat;Sedan;camry;L  1923 BP;2.374.442;2.509.500;537.234;5.421.176;Rusak Sedang;4.883.942;11,00%;43,80%;46,30%
Agustus;PT. ASTRA INTERNATIONAL Toyota Basuki Rahmat;Micro Bus;Hiace;L 1571 FP;5.851.140;2.075.500;871.930;8.798.570;Rusak Berat;7.926.640;11,00%;66,50%;23,60%
Agustus;PT. ASTRA INTERNATIONAL Toyota Basuki Rahmat;Imv;Jeep;L 1012 ZZH;1.799.890;1.369.500;348.633;3.518.023;Rusak Sedang;3.169.390;11,00%;51,20%;38,90%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1320 CP;528.113;42.000;62.713;632.826;Rusak Sedang;570.113;11,00%;83,50%;6,60%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1817 FP;1.390.910;504.000;208.440;2.103.350;Rusak Sedang;1.894.910;11,00%;66,10%;24,00%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1349 CP;612.613;963.333;173.354;1.749.300;Rusak Sedang;1.575.946;11,00%;35,00%;55,10%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 9367 AP;1.547.583;1.213.800;303.752;3.065.135;Rusak Sedang;2.761.383;11,00%;50,50%;39,60%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1851 FP;4.494.414;1.365.000;644.536;6.503.950;Rusak Sedang;5.859.414;11,00%;69,10%;21,00%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Mini Bus;TBR541;L 1686 FP;4.817.347;1.339.800;677.286;6.834.433;Rusak Sedang;6.157.147;11,00%;70,50%;19,60%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 9355 AP;3.035.314;798.000;421.665;4.254.979;Rusak Sedang;3.833.314;11,00%;71,30%;18,80%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang Kombes Duryat;Pick Up;TBR54;L 8907 CP;5.666.592;1.533.000;791.954;7.991.546;Rusak Sedang;7.199.592;11,00%;70,90%;19,20%
September;CV. ASRI;Mini Bus;Innova;L 1588 FP;670.991;81.081;82.728;834.800;Rusak Sedang;752.072;11,00%;80,40%;9,70%
September;CV. ASRI;Mini Bus;Innova;L 1030 BP;2.437.906;1.133.087;392.809;3.963.802;Rusak Sedang;3.570.993;11,00%;61,50%;28,60%
September;CV. ASRI;Mini Bus;Innova;L 1743 FP;1.537.120;1.240.007;305.484;3.082.611;Rusak Sedang;2.777.127;11,00%;49,90%;40,20%
September;CV. ASRI;Mini Bus;Innova;L 1718 FP;4.566.846;1.179.227;632.068;6.378.141;Rusak Berat;5.746.073;11,00%;71,60%;18,50%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;Ford;L 8407 CP;10.172.160;4.137.000;1.574.008;15.883.168;Rusak Berat;14.309.160;11,00%;64,00%;26,00%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9365 AP;7.667.730;952.000;948.170;9.567.900;Rusak Sedang;8.619.730;11,00%;80,10%;9,90%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 9347 AP;2.567.747;5.775.000;917.700;9.260.447;Rusak Sedang;8.342.747;11,00%;27,70%;62,40%
Agustus;PT. ASTRA INTERNATIONAL ISUZU cabang HR Muhammad;Pick Up;TBR54;L 8841 CP;6.076.048;1.617.000;846.237;8.539.285;Rusak Sedang;7.693.048;11,00%;71,20%;18,90%
