L 9356 AP;Vendor;Jenis Kendaraan;Type;Nopol;Sparepart;Jasa; PPN ; Total Biaya ;Keterangan;Biaya Sebelum PPN;PPN Rate;Sparepart %;Jasa %
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;PICK Up;TBR54;L 8820 CP;1719413;1515045; Rp355.792 ; Rp3.590.250 ;Rusak Ringan;3234458;0,11;0,478911775;0,421988719
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Mini bus;Other D;L 1768 EP;3094196;3397243; Rp714.058 ; Rp7.205.497 ;Rusak Sedang;6491439;0,11;0,429421593;0,471479344
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Mini bus;Other I;L 9334 AP;8675665;3576587; Rp1.347.750 ; Rp13.600.002 ;Rusak Berat;12252252;0,11;0,63791645;0,2629843
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Dump Truck;Nseriess77;L 8876 CP;6397477;1932000; Rp916.243 ; Rp9.245.720 ;Rusak Berat;8329477;0,11;0,691939297;0,208961552
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG HR MUHAMMAD;Ambulance;TBR541;L 1921 BP;7886617;4185387; Rp1.327.920 ; Rp13.399.924 ;Rusak Berat;12072004;0,11;0,588556846;0,312344085
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9049 BP;1162065;581299; Rp191.770 ; Rp1.935.134 ;Rusak Ringan;1743364;0,11;0,600508802;0,300392118
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1078 BP;3883594;1652297; Rp608.948 ; Rp6.144.839 ;Rusak sedang;5535891;0,11;0,632009073;0,268891829
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9350 AP;5047145;2087973; Rp784.863 ; Rp7.919.981 ;Rusak sedang;7135118;0,11;0,637267312;0,263633587
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9364 AP;5301385;686297; Rp658.645 ; Rp6.646.327 ;Rusak sedang;5987682;0,11;0,797641314;0,10325959
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1920 BP;3792895;2664333; Rp710.295 ; Rp7.167.523 ;Rusak sedang;6457228;0,11;0,529177932;0,371722979
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9359 AP;4444753;2205000; Rp731.473 ; Rp7.381.226 ;Rusak sedang;6649753;0,11;0,602170019;0,298730861
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 8836 CP;3778091;1617000; Rp593.460 ; Rp5.988.551 ;Rusak Sedang;5395091;0,11;0,630885668;0,270015234
Maret;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 8978 CP;1834780;1754630; Rp394.835 ; Rp3.984.245 ;Rusak sedang;3589410;0,11;0,460508829;0,440392094
Mei;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Jeep;IMV4;L 1011 ZZH;1406554;674000; Rp228.860 ; Rp2.309.414 ;Rusak Ringan;2080554;0,11;0,60905234;0,291848928
Mei;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Jeep;IMV4;L 1012 ZZH;742590;674000; Rp155.825 ; Rp1.572.415 ;Rusak Ringan;1416590;0,11;0,472260822;0,428640022
Mei;PT. ASTRA INTERNATIONAL - TBK  TOYOTA CABANG BASUKI RAHMAT;Mini bus;IMV;L 1559 QP;2857007;1579000; Rp487.961 ; Rp4.923.968 ;Rusak Sedang;4436007;0,11;0,580224526;0,320676333
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR541;L 1570 FP;10001060;4570652; Rp1.602.886 ; Rp16.174.598 ;Rusak Berat;14571712;0,11;0,618318922;0,282582108
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Pick Up;TBR54;L 8858 CP;2540350;1169297; Rp408.061 ; Rp4.117.708 ;Rusak sedang;3709647;0,11;0,616933012;0,283967926
Mei;PT. ASTRA INTERNATIONAL - TBK  ISUZU CABANG KOMBES DURYAT;Mini bus;TBR54;L 9367 AP;4322870;2678630; Rp770.166 ; Rp7.771.666 ;Rusak sedang;7001500;0,11;0,556234661;0,344666124
